ALGMN,Diploma,SSC,Gender
691,90.41,92.2,Male
692,90.41,90.6,Male
693,90.41,86,Male
694,90.41,84.8,Male
695,90.41,83.2,Male
696,90.4,94.4,Female
697,90.4,93.2,Female
698,90.4,91.8,Male
699,90.4,88.4,Female
700,90.4,88.2,Male
701,90.38,92.8,Male
702,90.38,91,Female
703,90.38,90.91,Male
704,90.38,89.8,Male
705,90.38,89.8,Male
706,90.38,88,Female
707,90.38,82.4,Male
708,90.36,90.6,Male
709,90.36,90,Female
710,90.36,89.2,Male
711,90.35,97.2,Male
712,90.35,96.6,Female
713,90.35,96.4,Female
714,90.35,93.6,Female
715,90.35,93.4,Female
716,90.35,93,Female
717,90.35,92.6,Female
718,90.35,89.6,Male
719,90.35,87.6,Female
720,90.35,87.2,Female
721,90.35,81.6,Female
722,90.35,79,Female
723,90.31,94.4,Male
724,90.31,93.2,Male
725,90.31,92.2,Female
726,90.31,91.4,Male
727,90.31,88.6,Male
728,90.31,88,Female
729,90.3,95,Female
730,90.3,91.8,Female
731,90.3,90.8,Male
732,90.3,86.8,Male
733,90.3,83.4,Male
734,90.3,82,Female
735,90.3,68.36,Male
736,90.29,93.4,Male
737,90.29,93,Male
738,90.29,90.6,Female
739,90.29,89.6,Male
740,90.29,86,Male
741,90.29,82.4,Female
742,90.29,73,Male
743,90.27,91.4,Female
744,90.26,92.8,Female
745,90.25,87.8,Female
746,90.25,86.6,Female
747,90.24,95.4,Female
748,90.24,95,Male
749,90.24,92.8,Male
750,90.24,91.8,Female
751,90.24,91.8,Female
752,90.24,91.2,Male
753,90.24,91.2,Female
754,90.24,90.6,Male
755,90.24,90.4,Male
756,90.24,88.6,Female
757,90.24,88,Female
758,90.24,88,Female
759,90.24,88,Female
760,90.24,88,Female
761,90.24,85.4,Male
762,90.24,85,Female
763,90.24,84,Female
764,90.24,83.27,Male
765,90.24,82.4,Female
766,90.24,77.6,Female
767,90.23,94.2,Male
768,90.2,94.8,Male
769,90.2,93,Female
770,90.2,90.4,Male
771,90.2,78.55,Male
772,90.2,77.4,Female
773,90.19,90.4,Female
774,90.19,88.36,Male
775,90.19,87.2,Female
776,90.19,87,Male
777,90.19,84.6,Female
778,90.19,69.09,Female
779,90.18,94.6,Male
780,90.18,93.8,Male
781,90.18,92.8,Male
782,90.18,92.4,Female
783,90.18,91,Male
784,90.18,90.6,Male
785,90.18,87.8,Male
786,90.18,84.91,Male
787,90.18,84.6,Female
788,90.17,94.40 100.00,Male
789,90.17,93.4,Female
790,90.13,93.00 100.00,Female
791,90.13,92.4,Male
792,90.13,89.6,Male
793,90.13,89.45,Male
794,90.13,89.45,Male
795,90.13,87,Female
796,90.13,83.6,Female
797,90.12,97.20 100.00,Female
798,90.12,94.2,Female
799,90.12,93,Male
800,90.12,91.6,Male
801,90.12,90.6,Male
802,90.12,89.6,Male
803,90.12,89,Male
804,90.12,88.6,Female
805,90.12,88.4,Male
806,90.12,87.09,Female
807,90.12,87,Female
808,90.12,86,Female
809,90.12,85.8,Male
810,90.12,82.8,Male
811,90.11,93.6,Female
812,90.11,57.27,Male
813,90.1,90.4,Female
814,90.09,91.6,Male
815,90.06,94.6,Female
816,90.06,92.6,Male
817,90.06,90.8,Male
818,90.06,89,Male
819,90.06,88,Male
820,90.06,87.4,Male
821,90.06,87.2,Male
822,90.06,86.6,Female
823,90.06,85.64,Female
824,90.06,77.8,Female
825,90.04,91.2,Male
826,90,96.6,Female
827,90,94.8,Male
828,90,94.6,Female
829,90,94,Female
830,90,93.8,Female
831,90,93.4,Male
832,90,93.4,Female
833,90,91.8,Female
834,90,91.4,Female
835,90,91.2,Female
836,90,89.6,Male
837,90,89.2,Male
838,90,89.2,Male
839,90,88.4,Female
840,90,88,Male
841,90,87.45,Male
842,90,87.4,Male
843,90,85.82,Male
844,90,84.4,Male
845,90,82.4,Male
846,90,72.2,Male
847,90,63.4,Female
848,89.94,95.82,Male
849,89.94,95.8,Male
850,89.94,93.6,Female
851,89.94,93.4,Male
852,89.94,93.2,Male
853,89.94,91.2,Male
854,89.94,90.4,Female
855,89.94,88.6,Female
856,89.94,88,Male
857,89.94,87.82,Male
858,89.94,87.8,Female
859,89.94,87.6,Female
860,89.94,87.4,Female
861,89.94,87.2,Male
862,89.94,86.8,Male
863,89.94,86.6,Female
864,89.94,83.8,Male
865,89.94,83.8,Female
866,89.94,83.45,Male
867,89.94,83.2,Male
868,89.94,80.6,Female
869,89.94,80.2,Female
870,89.94,79.82,Male
871,89.94,78.8,Male
872,89.94,78.8,Male
873,89.94,76,Male
874,89.93,91.45,Male
875,89.91,90,Male
876,89.9,93.6,Female
877,89.88,96.2,Female
878,89.88,95.4,Female
879,89.88,95,Male
880,89.88,93.6,Male
881,89.88,93.6,Female
882,89.88,92.6,Female
883,89.88,91.64,Male
884,89.88,91.4,Female
885,89.88,90.6,Female
886,89.88,90,Female
887,89.88,89.4,Female
888,89.88,88.8,Female
889,89.88,88.2,Female
890,89.88,88.2,Female
891,89.88,86.8,Female
892,89.88,85.4,Female
893,89.88,81,Male
894,89.88,78,Female
895,89.88,77.6,Male
896,89.88,66.4,Male
897,89.87,91.8,Male
898,89.86,91.4,Male
899,89.83,88.4,Male
900,89.82,93.17,Male
901,89.82,92.8,Female
902,89.82,92.6,Male
903,89.82,92.6,Male
904,89.82,92.2,Male
905,89.82,91,Female
906,89.82,90.6,Male
907,89.82,87.4,Female
908,89.82,84.2,Female
909,89.82,81.8,Female
910,89.82,81.8,Female
911,89.82,81.4,Male
912,89.82,80.8,Male
913,89.82,76,Male
914,89.82,70.4,Male
915,89.81,91,Female
916,89.81,91,Female
917,89.81,90.6,Female
918,89.81,84.8,Female
919,89.81,83.82,Female
920,89.81,70.91,Male
921,89.8,88.8,Male
922,89.76,93.2,Female
923,89.76,92.8,Male
924,89.76,90.2,Male
925,89.76,90,Male
926,89.76,88.8,Male
927,89.76,87.8,Female
928,89.76,86,Male
929,89.76,85.4,Male
930,89.76,82.6,Female
931,89.76,77.2,Female
932,89.75,94.6,Female
933,89.75,90.4,Male
934,89.75,89,Male
935,89.75,88.2,Female
936,89.75,87.6,Female
937,89.75,87.5,Female
938,89.75,85.4,Male
939,89.74,90.4,Male
940,89.73,96.4,Male
941,89.73,95.4,Male
942,89.73,85.4,Male
943,89.71,95.09,Female
944,89.71,92.2,Female
945,89.71,91.8,Male
946,89.71,90.2,Female
947,89.71,88.6,Female
948,89.71,83.8,Male
949,89.71,83.6,Female
950,89.71,82.4,Female
951,89.7,92.2,Male
952,89.7,91.2,Female
953,89.7,89.6,Female
954,89.7,84.6,Male
955,89.7,83.6,Male
956,89.69,94.4,Female
957,89.69,93.8,Male
958,89.69,92.4,Female
959,89.69,92.4,Female
960,89.69,90.6,Male
961,89.69,84.8,Female
962,89.69,80,Female
963,89.69,77,Female
964,89.69,72.2,Female
965,89.65,96.6,Female
966,89.65,93.4,Female
967,89.65,92.2,Female
968,89.65,91.4,Male
969,89.65,91.4,Female
970,89.65,91,Male
971,89.65,90.6,Male
972,89.65,82.2,Male
973,89.65,81.6,Female
974,89.65,79.6,Female
975,89.65,77.6,Male
976,89.64,92.4,Male
977,89.64,90.33,Male
978,89.64,90.2,Female
979,89.64,87.2,Male
980,89.64,86.2,Female
981,89.64,80,Male
982,89.63,95.6,Female
983,89.63,92.8,Female
984,89.63,92.2,Female
985,89.63,92,Male
986,89.63,91.2,Male
987,89.63,91,Female
988,89.63,88.2,Male
989,89.63,85.2,Female
990,89.63,82,Male
991,89.63,78,Male
992,89.63,76.8,Male
993,89.61,96.2,Male
994,89.6,91.6,Male
995,89.6,86.88,Female
996,89.6,83.82,Male
997,89.59,92.6,Male
998,89.59,92.2,Male
999,89.59,90.6,Female
1000,89.59,88.4,Female
1001,89.59,87.2,Male
1002,89.59,86.8,Male
1003,89.59,84.4,Female
1004,89.59,82,Male
1005,89.59,71.6,Male
1006,89.58,95.2,Male
1007,89.58,95,Male
1008,89.58,92,Female
1009,89.58,90.2,Male
1010,89.58,90,Male
1011,89.58,89.82,Male
1012,89.58,87.4,Male
1013,89.58,86.6,Female
1014,89.58,86.2,Male
1015,89.58,64.73,Male
1016,89.56,94.4,Female
1017,89.56,93.2,Female
1018,89.56,91.8,Female
1019,89.56,91.6,Male
1020,89.56,91.6,Female
1021,89.56,91.4,Male
1022,89.56,90.4,Male
1023,89.56,88.8,Male
1024,89.56,88.8,Female
1025,89.56,88.36,Male
1026,89.56,87,Female
1027,89.56,84.8,Male
1028,89.56,78.8,Male
1029,89.56,78.4,Male
1030,89.55,96,Male
1031,89.53,94.2,Male
1032,89.53,92,Male
1033,89.53,91.82,Female
1034,89.53,89.6,Male
1035,89.53,88.4,Female
1036,89.53,85.4,Female
1037,89.53,80.8,Male
1038,89.53,79,Male
1039,89.52,89.2,Male
1040,89.52,64.8,Male
1041,89.5,94.6,Female
1042,89.5,94,Female
1043,89.5,93.2,Male
1044,89.5,91.4,Female
1045,89.5,91.2,Female
1046,89.5,90.6,Male
1047,89.5,90.18,Male
1048,89.5,89.6,Female
1049,89.5,88.2,Female
1050,89.5,85.4,Female
1051,89.49,90.8,Female
1052,89.49,78.2,Male
1053,89.48,94.2,Female
1054,89.48,92.6,Male
1055,89.48,88,Male
1056,89.47,94.8,Male
1057,89.47,93,Female
1058,89.47,90.6,Male
1059,89.47,90.6,Female
1060,89.47,89.8,Male
1061,89.47,88.2,Male
1062,89.47,88,Female
1063,89.47,87.8,Male
1064,89.47,86,Female
1065,89.47,74,Male
1066,89.45,92.2,Female
1067,89.45,90.4,Female
1068,89.45,87.2,Male
1069,89.45,86.8,Male
1070,89.45,81.45,Male
1071,89.44,90.4,Female
1072,89.44,90.2,Male
1073,89.44,89.4,Female
1074,89.44,88.6,Male
1075,89.43,93.4,Female
1076,89.43,91.2,Male
1077,89.42,92.73,Male
1078,89.42,89.8,Male
1079,89.41,95.4,Female
1080,89.41,93.6,Male
1081,89.41,93,Female
1082,89.41,92.8,Female
1083,89.41,91,Female
1084,89.41,90.4,Male
1085,89.41,83,Male
1086,89.41,81,Male
1087,89.41,78.4,Male
1088,89.4,93.2,Female
1089,89.4,92.2,Male
1090,89.4,90.2,Male
1091,89.39,88,Female
1092,89.39,84.6,Male
1093,89.39,83.08,Female
1094,89.39,79.64,Male
1095,89.39,78.91,Male
1096,89.39,78.2,Male
1097,89.38,95.6,Male
1098,89.38,94.8,Male
1099,89.38,90,Female
1100,89.38,89.4,Female
